Date,Product,Quantity Sold,Revenue ($)
2025-03-01,Laptop,5,5000
2025-03-01,Mouse,15,300
2025-03-01,Headphones,12,600
2025-03-02,Laptop,3,3000
2025-03-02,Keyboard,8,800
2025-03-02,Monitor,4,1200
2025-03-03,Tablet,7,2100
2025-03-03,Phone,9,4500
2025-03-04,Mouse,20,400
2025-03-04,Laptop,6,6000
2025-03-05,Keyboard,10,1000
2025-03-05,Headphones,8,400
2025-03-06,Monitor,5,1500
2025-03-06,Tablet,4,1200
2025-03-07,Phone,11,5500
2025-03-07,Laptop,2,2000
2025-03-08,Mouse,25,500
2025-03-08,Keyboard,15,1500
2025-03-09,Headphones,10,500
2025-03-09,Monitor,3,900
